,cca,cca_name,cca_nb,count,population,crime_rate
0,1,Rogers Park,Rogers Park,120430,54991.0,9124.978026707402
1,2,West Ridge,West Ridge,100061,71942.0,5795.235513793518
2,3,Uptown,Uptown,115138,56362.0,8511.792815490344
3,3,Uptown,Buena Park,115138,56362.0,8511.792815490344
4,3,Uptown,Clarendon Park,115138,56362.0,8511.792815490344
5,4,Lincoln Square,Lincoln Square,55913,39493.0,5899.041180293554
6,4,Lincoln Square,Budlong Woods,55913,39493.0,5899.041180293554
7,4,Lincoln Square,Bowmanville,55913,39493.0,5899.041180293554
8,5,North Center,North Center,45409,31867.0,5937.307141138691
9,6,Lake View,Lake View,159773,94368.0,7054.518834068045
10,6,Lake View,Wrigleyville,159773,94368.0,7054.518834068045
11,6,Lake View,Boystown (Northalsted),159773,94368.0,7054.518834068045
12,7,Lincoln Park,Lincoln Park,120710,64116.0,7844.505791586083
13,7,Lincoln Park,Old Town,120710,64116.0,7844.505791586083
14,7,Lincoln Park,DePaul,120710,64116.0,7844.505791586083
15,8,Near North Side,Near North Side,277990,80484.0,14391.57679373126
16,8,Near North Side,Gold Coast,277990,80484.0,14391.57679373126
17,8,Near North Side,Streeterville,277990,80484.0,14391.57679373126
18,8,Near North Side,River North,277990,80484.0,14391.57679373126
19,9,Loop,The Loop,7799,11187.0,2904.785316289741
20,9,Loop,Central Business District,7799,11187.0,2904.785316289741
21,9,Loop,Printer's Row,7799,11187.0,2904.785316289741
22,9,Loop,Near East Side,7799,11187.0,2904.785316289741
23,9,Loop,New East Side,7799,11187.0,2904.785316289741
24,9,Loop,Downtown Chicago,7799,11187.0,2904.785316289741
25,10,Near South Side,Near South Side,34094,37023.0,3837.029234079716
26,11,Armour Square,Armour Square,30985,25448.0,5073.253955779106
27,11,Armour Square,Chinatown,30985,25448.0,5073.253955779106
28,12,Douglas,Douglas,14484,18508.0,3260.7521071968877
29,13,Oakland,Oakland,26428,17931.0,6141.133604744113
30,14,Fuller Park,Fuller Park,69815,51542.0,5643.860023540673
31,15,Grand Boulevard,Grand Boulevard,98130,64124.0,6376.3177593412765
32,16,Kenwood,Kenwood,86810,53359.0,6778.768967434423
33,16,Kenwood,Indian Village,86810,53359.0,6778.768967434423
34,17,Washington Park,Washington Park,48041,41932.0,4773.701071576203
35,18,Hyde Park,Hyde Park,18638,13426.0,5784.174983862158
36,18,Hyde Park,East Hyde Park,18638,13426.0,5784.174983862158
37,19,Woodlawn,Woodlawn,141837,78743.0,7505.270309741818
38,20,South Shore,South Shore,46333,25010.0,7719.079035052647
39,21,Chatham,Chatham,71626,39262.0,7601.2853819639
40,22,Avalon Park,Avalon Park,159952,72791.0,9155.893814711526
41,23,South Chicago,South Chicago,239707,56323.0,17733.0605022223
42,24,Burnside,Burnside,227516,82236.0,11527.595375909985
43,25,Calumet Heights,Calumet Heights,477033,98514.0,20176.193231418885
44,25,Calumet Heights,Pill Hill,477033,98514.0,20176.193231418885
45,26,Roseland,Roseland,143997,18001.0,33330.787178490085
46,26,Roseland,Fernwood,143997,18001.0,33330.787178490085
47,27,Pullman,Pullman,143275,20567.0,29026.069269541826
48,28,South Deering,South Deering,240702,54881.0,18274.539458100255
49,29,East Side,East Side,225211,35912.0,26129.961201455408
50,30,West Pullman,West Pullman,130074,79288.0,6835.523660579154
51,31,Riverdale,Riverdale,77292,35769.0,9003.606474880484
52,32,Hegewisch,Hegewisch,197764,29283.0,28139.762547097856
53,33,Ashburn,Ashburn,61535,21390.0,11986.71497584541
54,34,Auburn Gresham,Auburn Gresham,29686,13391.0,9236.92529808578
55,35,Beverly,Beverly,86566,18238.0,19776.93095003107
56,36,Washington Heights,Washington Heights,18524,5918.0,13042.131350681539
57,37,Mount Greenwood,Mount Greenwood,25366,2876.0,36749.536393138624
58,38,Morgan Park,Morgan Park,107587,21929.0,20442.298630428504
59,39,O'Hare,O'Hare,46135,17841.0,10774.573547820564
60,40,Edgewater,Edgewater,81461,11717.0,28968.237034508264
61,40,Edgewater,Edgewater Beach,81461,11717.0,28968.237034508264
62,40,Edgewater,Bryn Mawr,81461,11717.0,28968.237034508264
63,41,North Lawndale,North Lawndale,51772,25681.0,8399.854626637072
64,42,South Lawndale,South Lawndale,123208,23740.0,21624.543667509126
65,42,South Lawndale,Little Village,123208,23740.0,21624.543667509126
66,43,Brighton Park,Brighton Park,255383,52010.0,20459.446901236945
67,44,McKinley Park,McKinley Park,171276,31028.0,23000.193373726957
